En_loss_b2,Pos_2ps_b2,Neg_2ps_b2,PosErr_2ps_b2,NegErr_2ps_b2,Diff_2ps_b2,DiffErr_2ps_b2,Pos_10ps_b2_amp,Neg_10ps_b2_amp,PosErr_10ps_b2_amp,NegErr_10ps_b2_amp,Diff_10ps_b2_amp,DiffErr_10ps_b2_amp,EnQE_loss_b2,SigQE_2ps_b2,SigQE_m50ps_b2,SigErrQE_2ps_b2,SigErrQE_m50ps_b2,DiffQE_2ps_b2,DiffErrQE_2ps_b2
1.0778,53.0381,36.2195,7.28272,6.01826,16.8186,9.44762,47.9596,32.7361,7.89483,6.52257,15.2235,10.2407,1.02613,77.1851,56.6763,8.78551,7.52837,20.5088,11.5699
1.05928,38.3399,58.8745,6.19192,7.67297,-20.5346,9.85974,68.7385,54.0806,9.45159,8.38351,14.6579,12.6339,1.00762,72.8276,63.6141,8.53391,7.97585,9.21354,11.6808
1.04076,68.7445,56.7241,8.29123,7.53154,12.0204,11.2013,58.3387,56.9159,8.7073,8.60046,1.42281,12.2387,0.9891,96.8204,67.1697,9.83974,8.19571,29.6507,12.8059
1.02224,61.9788,67.6376,7.87266,8.22421,-5.65883,11.3849,67.9868,64.3193,9.39977,9.14272,3.66748,13.1128,0.970576,85.1443,96.695,9.22736,9.83336,-11.5507,13.4848
1.00371,75.1955,66.3623,8.67154,8.1463,8.83326,11.8978,65.7974,61.0445,9.24718,8.90693,4.75291,12.8392,0.952048,93.7498,121.022,9.68245,11.001,-27.272,14.6551
0.985179,70.7187,75.2278,8.40944,8.67339,-4.50904,12.0808,55.5614,76.0159,8.49751,9.93933,-20.4545,13.0766,0.933514,123.033,81.5026,11.092,9.02788,41.5309,14.3016
0.966641,83.753,83.9607,9.15166,9.16301,-0.207751,12.9504,78.6217,96.5706,10.1083,11.2028,-17.9489,15.0891,0.914976,111.191,117.501,10.5447,10.8398,-6.30979,15.1225
0.948097,84.0663,103.24,9.16877,10.1607,-19.1741,13.686,92.2338,89.7741,10.9484,10.8014,2.45974,15.3798,0.896432,140.198,152.752,11.8405,12.3593,-12.5539,17.1158
0.929548,112.498,102.602,10.6065,10.1293,9.89562,14.6663,98.019,112.886,11.2865,12.1123,-14.8671,16.5557,0.877884,120.104,135.526,10.9592,11.6416,-15.4224,15.9884
0.910995,123.989,119.006,11.1351,10.909,4.98347,15.5883,149.556,115.351,13.9414,12.2438,34.2058,18.5546,0.85933,138.279,141.112,11.7592,11.879,-2.83287,16.715
0.892436,130.221,126.518,11.4114,11.248,3.70261,16.0231,139.282,156.348,13.454,14.2545,-17.0667,19.601,0.840771,150.223,156.296,12.2565,12.5019,-6.0737,17.5077
0.873872,141.487,142.879,11.8948,11.9532,-1.39259,16.8632,147.877,149.111,13.863,13.9207,-1.23375,19.646,0.822207,169.672,171.802,13.0258,13.1073,-2.12977,18.479
0.855303,160.725,185.123,12.6777,13.606,-24.3977,18.597,172.979,166.919,14.9934,14.7285,6.05942,21.0174,0.803638,197.203,176.017,14.0429,13.2671,21.1853,19.3189
0.836729,168.837,197.058,12.9937,14.0377,-28.2207,19.1284,230.318,208.363,17.3009,16.4557,21.9545,23.877,0.785064,220.185,187.572,14.8386,13.6957,32.6138,20.193
0.818149,193.756,218.261,13.9196,14.7737,-24.5046,20.2982,264.672,227.568,18.5464,17.1973,37.1043,25.2926,0.766485,209.686,195.962,14.4805,13.9986,13.7243,20.1407
0.799565,214.035,231.521,14.6299,15.2158,-17.4855,21.1082,208.859,224.404,16.4752,17.0773,-15.5446,23.7291,0.7479,220.134,222.115,14.8369,14.9035,-1.98129,21.0297
0.780976,202.951,290.386,14.2461,17.0407,-87.4343,22.2112,218.141,268.253,16.8373,18.6714,-50.1126,25.142,0.729311,252.374,239.595,15.8863,15.4789,12.7793,22.1804
0.762381,249.567,265.759,15.7977,16.3021,-16.1914,22.7008,230.35,239.913,17.3021,17.6576,-9.56328,24.7215,0.710716,229.945,268.827,15.1639,16.3959,-38.8817,22.3332
0.743782,212.792,274.066,14.5874,16.5549,-61.274,22.0649,224.036,239.479,17.0633,17.6416,-15.4425,24.5435,0.692117,264.422,286.843,16.261,16.9364,-22.4211,23.479
0.725177,216.596,266.052,14.7172,16.3111,-49.4557,21.9693,250.34,252.64,18.0372,18.1199,-2.30024,25.567,0.673512,312.712,320.936,17.6837,17.9147,-8.22417,25.1724
0.706568,230.688,231.849,15.1884,15.2266,-1.16137,21.5067,214.211,269.683,16.685,18.7211,-55.4723,25.0773,0.654903,288.913,392.321,16.9975,19.8071,-103.407,26.1005
0.687953,246.936,254.825,15.7142,15.9632,-7.88908,22.4,203.948,276.097,16.2804,18.9424,-72.149,24.9773,0.636288,316.43,366.123,17.7885,19.1343,-49.6924,26.1257
